title,company,location,role,skills,link,duration,stipend,mode,source
Founding Data Engineer,Rogo,"New York, NY",Founding Data Engineer,"Python, SQL, Postgres, Snowflake, Elasticsearch, Apache Airflow, AWS, TypeScript, Stream Processing, Datadog, Telemetry, GPT4, Natural Language Processing, Machine Learning, Financial Analysis, Research, Due Diligence, RealTime Data Pipelines, Financial LLM, Data Engineering, Multithreading, Multiprocessing, Asynchronous Programming, Concurrency Primitives, ETL Pipelines, Large and Heterogeneous Data Sources, Cloud Environment",https://www.linkedin.com/jobs/view/founding-data-engineer-at-rogo-3749759981,Remote,,,LinkedIn
Staff Data Engineer,"Nav Technologies, Inc.","Seattle, WA",Staff Data Engineer,"Docker, ECS, S3, Redshift, Kafka, RDS, dbt, Azure Data Factory, Matillion, Fivetran, Python, Postgres, Snowflake, Apache Airflow, Apache Kafka, Tableau, dbt, Fivetran, Matillion, Azure Data Factory, AWS Glue, AWS Redshift, AWS Athena, AWS EMR, AWS SageMaker, Spark, Hadoop, Hive, Pig, Scala, Java, Linux, Unix, Bash, SQL, NoSQL, MongoDB, Cassandra, HBase, Redis, ElasticSearch, Kibana, Logstash, Apache NiFi, Apache Hadoop, Apache Storm, Apache Spark, Apache Flink, Apache Airflow, Apache Hive, Apache Pig, Apache HBase, Apache Phoenix, Apache Cassandra, Apache Kafka, Apache ZooKeeper, Apache Flume, Apache Sqoop, Apache Parquet, Apache Avro, Apache Thrift, Apache Arrow, Apache Impala, Apache Drill, Apache HCatalog, Apache Hive LLAP, Apache Phoenix, Apache Spark SQL, Apache Flink SQL, Apache Beam, Apache Druid, Apache Kylin, Apache Pinot, Apache Superset, Apache Zeppelin, Apache Ambari, Apache Ranger, Apache Atlas, Apache Hive Metastore, Apache Spark Streaming, Apache Flink Streaming, Apache Storm Streaming, Apache Samza, Apache Apex, Apache NiFi Streaming, Apache Kafka Streams, Apache Pulsar, Apache RocketMQ, Apache FlinkCEP, Apache Storm Trident, Apache Samza Streams, Apache Apex Streams, Apache NiFi Streaming, Apache Kafka Streams, Apache Pulsar, Apache RocketMQ, Apache Spark MLlib, Apache Flink ML, Apache Mahout, Apache MxNet, Apache TensorFlow, Apache PyTorch, Apache Keras, Apache Theano, Apache CNTK, Apache MXNet, Apache TVM, Apache Ray, Apache Spark MLlib, Apache Flink ML, Apache Mahout, Apache MxNet, Apache TensorFlow, Apache PyTorch, Apache Keras, Apache Theano, Apache CNTK, Apache MXNet, Apache TVM, Apache Ray",https://www.linkedin.com/jobs/view/staff-data-engineer-at-nav-technologies-inc-3775330460,Remote,,,LinkedIn
Healthcare Data Analyst,Pasito,United States,Healthcare Data Analyst,"Data Analysis, Machine Learning, Actuarial Science, Forecasting, Predictive Modeling, Healthcare, Claims Data, CPT Codes, U.S. Benefits, U.S. Healthcare, U.S. Insurance, Data Architecture, Data Visualization, Relational Databases, Communication Skills, English",https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-pasito-3767238322,Remote,,,LinkedIn
Data Engineer( Informatica power Center and Data Stage EXP),Innovee Consulting LLC,United States,Data Engineer( Informatica power Center and Data Stage EXP),"Data Engineering, Data Pipeline Design, Data Pipeline Construction, Data Pipeline Implementation, Data Analytics, Data Governance, Data Security, Reusable Data Pipelines, Automation, Metadata Management, Data Integration, Data Management, Snowflake, Data Science, Machine Learning, Agile Development, AutoSys, CntlM, Informatica Powercenter, IBM DataStage, R, Python, Java, C++, Scala, Shell Scripting, Perl Scripting, SQL, PL/SQL, MongoDB, Cassandra",https://www.linkedin.com/jobs/view/data-engineer-informatica-power-center-and-data-stage-exp-at-innovee-consulting-llc-3785705659,Remote,,,LinkedIn
Job Opening for Senior Data Solutions Engineer - backfill - Remote,Steneral Consulting,United States,Job Opening for Senior Data Solutions Engineer - backfill - Remote,"Data Pipelines, Data Integration, Data Preparation, ETL, ELT, Data Warehousing, Data Modeling, SQL, PL/SQL, TSQL, Oracle, SQL Server, Python, Java, Scala, Kafka, Pubsub, Kinesis, Apache Beam, Google Cloud DataFlow, Apache Spark, Apache Storm, Informatica, Azure Data Factory, Jira, Agile Methodologies",https://www.linkedin.com/jobs/view/job-opening-for-senior-data-solutions-engineer-backfill-remote-at-steneral-consulting-3657140007,Remote,,,LinkedIn
"Lead Data Engineer (AWS, Azure, GCP)",CapTech,"Chicago, IL","Lead Data Engineer (AWS, Azure, GCP)","Data Engineering, Data Pipelines, Cloud Technologies, ETL / Data Orchestration, Data Warehousing, Data Lake Solutions, SQL, Database Design, Data Structure, Programming Languages, DevOps Tools, Big Data, Open Source, Data Streaming, Architectural Components, Technical Leadership, Mentoring, Cloud Certification",https://www.linkedin.com/jobs/view/lead-data-engineer-aws-azure-gcp-at-captech-3751644354,Remote,,,LinkedIn
Senior Data Engineer,Hopscotch Primary Care,United States,Senior Data Engineer,"Data engineering, Healthcare data, Data infrastructure, Data pipelines, Data analytics, Data modeling, Python, Pyspark, Airflow, Prefect, Palantir Foundry, Databricks, Docker, Unix, AWS, Lambda, EHR, Population health tools, Patient portals, Clinical decision support technology",https://www.linkedin.com/jobs/view/senior-data-engineer-at-hopscotch-primary-care-3770481737,Remote,,,LinkedIn
Senior Data Engineer,"Nav Technologies, Inc.","Chicago, IL",Senior Data Engineer,,https://www.linkedin.com/jobs/view/senior-data-engineer-at-nav-technologies-inc-3775324854,Remote,,,LinkedIn
Data Engineer,Motion Recruitment,"Los Angeles, CA",Data Engineer,,https://www.linkedin.com/jobs/view/data-engineer-at-motion-recruitment-3730276350,Remote,,,LinkedIn
Remote Work - Need Sr Data Software Engineer,Steneral Consulting,United States,Remote Work - Need Sr Data Software Engineer,"SQL, Azure, Data Factory, DBT, ETL, Angular, Git, Data structures, Algorithms, Async programming patterns, Objectoriented design, Parallel programming, .NET, Java, Queuing technologies, Kafka, SNS, RabbitMQ, Metrics, Logging, Monitoring, Alerting, RESTful APIs, HL7 V2.x, FHIR, System deployment, CI/CD Pipeline, K8s, Terraform",https://www.linkedin.com/jobs/view/remote-work-need-sr-data-software-engineer-at-steneral-consulting-3735082431,Remote,,,LinkedIn
"Software Engineer, Data Warehouse Analytics",Stripe,United States,"Software Engineer, Data Warehouse Analytics","Data Warehouse, Data Analytics, Trino/Presto, Hive Metastore, SQL, Java, Scala, Go, AWS, Cloud Computing, Distributed Systems, Open Source, APIs, Developer Platforms",https://www.linkedin.com/jobs/view/software-engineer-data-warehouse-analytics-at-stripe-3785927124,Remote,,,LinkedIn
"(Level III Database Engineer- ETL- SSIS, ADF, C#)",Steneral Consulting,United States,"(Level III Database Engineer- ETL- SSIS, ADF, C#)","SSIS, Azure Data Factory, SQL, TSQL, C#, PowerShell, Snowflake, Databricks",https://www.linkedin.com/jobs/view/level-iii-database-engineer-etl-ssis-adf-c%23-at-steneral-consulting-3742301276,Remote,,,LinkedIn
Staff Data Engineer,AuditBoard,United States,Staff Data Engineer,"Apache Airflow, Apache Kafka, Apache Spark, AWS, AWS Cloud Formation, AWS Lake Formation, Azuer, Big Data, Cloud Platforms, Cloud Services, Compliance, Databricks, Data Governance, GCP, Infrastructure as Code, Java, Kafka, MySQL, Python, Security, Snowflake, SQL, Terraform",https://www.linkedin.com/jobs/view/staff-data-engineer-at-auditboard-3732150210,Remote,,,LinkedIn
Sr. Data Engineer - Remote,Get It Recruit - Information Technology,"Phoenix, AZ",Sr. Data Engineer - Remote,"SQL, Python, ETL, Data Integration, Big Data, Software Development Life Cycle, Data Analysis, Relational Database, PowerShell, MS SQL, Spreadsheets, Databases, Word Processing",https://www.linkedin.com/jobs/view/sr-data-engineer-remote-at-get-it-recruit-information-technology-3777842745,Remote,,,LinkedIn
Senior Data Engineer / Remote,Motion Recruitment,"Los Angeles, CA",Senior Data Engineer / Remote,"Python, PySpark, Airflow, AWS, EMR, ETL, SQL, Computer Science Degree",https://www.linkedin.com/jobs/view/senior-data-engineer-remote-at-motion-recruitment-3754633912,Remote,,,LinkedIn
REMOTE: Data Engineer //Pay rate: $43.35/hr,Stellar Professionals,United States,REMOTE: Data Engineer //Pay rate: $43.35/hr,"Data engineering, Data modeling, SQL, TSQL, PL/SQL, ETL/ELT, Azure Data Factory, Databricks, Python, C#, JavaScript, Azure, AWS, GCP, Docker, Kubernetes",https://www.linkedin.com/jobs/view/remote-data-engineer-pay-rate-%2443-35-hr-at-stellar-professionals-3704005282,Remote,,,LinkedIn
Senior Data Warehouse Engineer,Steneral Consulting,United States,Senior Data Warehouse Engineer,"Data Warehousing, Data Analysis, Azure Synapse, Azure Data Factory, ETL Tools, Data Pipelines, Data Visualization, Business Intelligence, Project Management, Problem Solving, Analytical Analysis, Training and Education, Communication Skills, Data Development, Data Application Development, Data and Application Development Policies, Data and Application Development Standards, Data and Application Development Procedures, Data and Application Development Techniques, Information Systems Design Principles, New Systems Design Techniques, Industry Standards and Best Practices, System and Business Data Applications",https://www.linkedin.com/jobs/view/senior-data-warehouse-engineer-at-steneral-consulting-3718978112,Remote,,,LinkedIn
Senior Data Engineer - Remote,Get It Recruit - Information Technology,"San Mateo, CA",Senior Data Engineer - Remote,"Data Engineering, Business Intelligence, Data Warehousing, Data Infrastructure, Data Pipelines, Data Quality, Dashboards, Data Integration, Cloud SaaS/PaaS, Microservices, GCP Cloud Function, AWS Lambda, Streaming Data, Batch Data, Bigquery, MS SQL, Data Architecture, SQL, DataFlow, Pubsub, Vertex AI, AI/ML",https://www.linkedin.com/jobs/view/senior-data-engineer-remote-at-get-it-recruit-information-technology-3774809543,Remote,,,LinkedIn
"Senior Data Engineer - $180k-$220k (Snowflake, Coding)",CyberCoders,"Chicago, IL","Senior Data Engineer - $180k-$220k (Snowflake, Coding)","Snowflake, JavaScript, Python, Data pipelines, APIs, Fivetran, DBT, Data architecture, Data modeling, Technical review, Mange development velocity, Team capacity, Backlogs, Partner closely, Product team, Key assignments, Delegate assignments, Main technical point of contact, Engineering, Translate technical requirements",https://www.linkedin.com/jobs/view/senior-data-engineer-%24180k-%24220k-snowflake-coding-at-cybercoders-3766365237,Remote,,,LinkedIn
Sr. Data Engineer (REMOTE),Syrinx Consulting,"New York, NY",Sr. Data Engineer (REMOTE),"Hadoop, Kafka, Hive, Spark, Vertica, SQL Server, MongoDB, TSQL, Python, Splunk, Big Data, Relational Database, MassivelyParallelProcessing, NoSQL, Database Infrastructure, Performance, Availability, Application Requirements",https://www.linkedin.com/jobs/view/sr-data-engineer-remote-at-syrinx-consulting-3648834182,Remote,,,LinkedIn
AWS Data Engineer,Extend Information Systems Inc.,United States,AWS Data Engineer,"Information Security, Cyber Security, Project Management, Financials, Budget Analysis, Project Specifications, Testing, Project Delivery, Interface, Customer Contact, Technical Matters, Coordination, Operational Issues, Work Plans, Schedules, Project Estimates, Resource Plans, Status Reports, Communication, Organization, Presentation, PMP",https://www.linkedin.com/jobs/view/aws-data-engineer-at-extend-information-systems-inc-3652274467,Remote,,,LinkedIn
GCP Data Engineer,United Consulting Hub,United States,GCP Data Engineer,"GCP Fundamentals, BigQuery, Composer, Python, Snowflake, DLP, Pub/Sub, Dataflow, Shell Scripting, SQL, Security concepts, ETL Migration, SQL Performance Tuning, Batch/Streaming Data Processing, Kafka, Realtime data feeds",https://www.linkedin.com/jobs/view/gcp-data-engineer-at-united-consulting-hub-3689044361,Remote,,,LinkedIn
Big Data Developer (Azure),Experfy,United States,Big Data Developer (Azure),"Big Data Architecture, Cloud Architecture, Batch Processing, Interactive Solutions, Realtime Processing, Azure, Cloud Analytics, SQL, SQL DW, SQL DB, PolyBase, USQL, Azure ADF, Event Hub, Nifi, HDInsight, Blob Storage, Redis Cache, Snowflake, Data Lake Implementations, Core Modernization, Data Ingestion, Hadoop Certification, Spark Certification, Reporting, Visualization, Unstructured Data, Structured Data, Scalable Systems, Distributed Systems, Cloud Computing, Data Cleansing, Data Quality, Standardization, Transformation, Rationalization, Linking, Matching, Data Standards, Master Data, Metadata, MultiTerabyte Data",https://www.linkedin.com/jobs/view/big-data-developer-azure-at-experfy-3719412375,Remote,,,LinkedIn
Sr. Data Analyst,"Data Ideology, LLC","Pittsburgh, PA",Sr. Data Analyst,"Data Analytics, SQL, PLSQL, R, Python, Data Warehouse, Data Integration, Data Validation, Data Testing, Data Mapping, Data Definition, Agile, SAFe, Oracle, SQL, Snowflake, Healthcare",https://www.linkedin.com/jobs/view/sr-data-analyst-at-data-ideology-llc-3776640712,Remote,,,LinkedIn
Senior Big Data Developer-US,Zortech Solutions,United States,Senior Big Data Developer-US,"Python, Data Science, Pandas, Numpy, Pyspark, AWS Glue, EC2, Lambda, SQL, ETL, QE",https://www.linkedin.com/jobs/view/senior-big-data-developer-us-at-zortech-solutions-3661724035,Remote,,,LinkedIn
Azure Data Engineer,"Global Soft Systems, Inc.",United States,Azure Data Engineer,"Azure, Data Factory Pipelines, Microsoft Software, SSIS, Visual Studio, Server Products, Office Products, SQL Server, VB Scripting, Data Lake, Lakehouse, Data Pipelines, Data Engineering, CI/CD, Cloud Computing, Data warehousing, Data modeling, Data analysis, Data visualization, Agile Development, Project Management, Communication, Presentation, Leadership",https://www.linkedin.com/jobs/view/azure-data-engineer-at-global-soft-systems-inc-3779845878,Remote,,,LinkedIn
TEST DATA ENGINEER-REMOTE-EST or CST only,Steneral Consulting,United States,TEST DATA ENGINEER-REMOTE-EST or CST only,"GenRocket, Scripting, PostgreSQL, SQL, API development, Synthetic data, Data masking, Data hub, Data management, Data modeling, Agile methodology, Azure Cloud, ADO, Python, PowerShell",https://www.linkedin.com/jobs/view/test-data-engineer-remote-est-or-cst-only-at-steneral-consulting-3661805618,Remote,,,LinkedIn
Principal Engineer - Vehicle Road Load Data RLD,Seismic Recruitment,"Bedford, England, United Kingdom",Principal Engineer - Vehicle Road Load Data RLD,,https://uk.linkedin.com/jobs/view/principal-engineer-vehicle-road-load-data-rld-at-seismic-recruitment-3767657549,Onsite,,,LinkedIn
Installation Supervisor (Data Cables / International Travel),Ernest Gordon Recruitment,"Northampton, England, United Kingdom",Installation Supervisor (Data Cables / International Travel),"Data Cables, Installation, Engineering, Project Management, Supervisory Experience, Field Service, Technical Service, Customer Service, Telecommunications, Mechanical, Installation Supervisor, Installation Engineer",https://uk.linkedin.com/jobs/view/installation-supervisor-data-cables-international-travel-at-ernest-gordon-recruitment-3781181401,Onsite,,,LinkedIn
Data Scientist,"Techaxis, Inc","Banbury, England, United Kingdom",Data Scientist,"Python, Pandas, Numpy, Matplotlib, SQL, PostgreSQL, AI, Machine learning, Data mining, Predictive modeling, Data analysis, Technical documentation, User manuals, API documentation",https://uk.linkedin.com/jobs/view/data-scientist-at-techaxis-inc-3774785189,Onsite,,,LinkedIn
HR Systems and Data Analyst - 12 months FTC,Wickes,"Northamptonshire, England, United Kingdom",HR Systems and Data Analyst - 12 months FTC,"HR Systems Administration, Data Extraction, Data Distribution, Troubleshooting, Data Integrity, Pivot Tables, Microsoft Excel, Google Sheets, Confidentiality, Customer Service, HR Processes, Data Entry",https://uk.linkedin.com/jobs/view/hr-systems-and-data-analyst-12-months-ftc-at-wickes-3782766198,Hybrid,,,LinkedIn
Senior Data Analyst,CV Consulting Ltd,"Bedford, England, United Kingdom",Senior Data Analyst,,https://uk.linkedin.com/jobs/view/senior-data-analyst-at-cv-consulting-ltd-3782398239,Hybrid,,,LinkedIn
Senior Data Architect | TS/SCI,YO HR Consultancy,"Springfield, MO",Senior Data Architect | TS/SCI,"Linux, Windows, Command line, Statistical analysis, Problemsolving, Data interpretation, Reporting, Software development, Coding, Automation, Data engineering, Research, Architecture, Computer science, Mathematics, Economics, DevOps, System administration, Data engineering architecture, Data pipelines, Sampling techniques, Operational metrics",https://www.linkedin.com/jobs/view/senior-data-architect-ts-sci-at-yo-hr-consultancy-3767417101,Onsite,,,LinkedIn
Senior Data Analyst,AAA Club Alliance,"Cincinnati, OH",Senior Data Analyst,"SQL, Excel, R, Tableau, PowerBI, Python, Adobe, Google Analytics, Data analytics, Speech analytics, Text analytics, Crosschannel analytics, Predictive analytics, Performance analytics, Data analysis, Trend analysis, Pattern analysis, Relationship analysis, Data visualization, Reporting, Communication, Critical thinking, Problemsolving, Project management",https://www.linkedin.com/jobs/view/senior-data-analyst-at-aaa-club-alliance-3774283756,Hybrid,,,LinkedIn
Senior Business Intelligence Developer - Data & Application Engineering,Jobs via eFinancialCareers,"Cincinnati, OH",Senior Business Intelligence Developer - Data & Application Engineering,"Business Intelligence, Data Modeling, SQL, Alteryx, Tableau, ERP, MES, MRP, Lean Six Sigma, Project Management, Communication, Problem Solving, Data Analysis",https://www.linkedin.com/jobs/view/senior-business-intelligence-developer-data-application-engineering-at-jobs-via-efinancialcareers-3777111285,Hybrid,,,LinkedIn
Data Center Building Operating Engineer (2nd Shift),JLL,"Richardson, TX",Data Center Building Operating Engineer (2nd Shift),"UPS, HVAC, Chillers, Crac, Crah, Plumbing, Electrical, ATS, STS, PDU, Refrigeration, Air conditioning, Boilers, Water heaters, Pumps, Valves, Piping, Filters, CMMS, EPA 608, NFPA70E",https://www.linkedin.com/jobs/view/data-center-building-operating-engineer-2nd-shift-at-jll-3748261882,Onsite,,,LinkedIn
Sr. Data Analyst,Aston Carter,"Dallas, TX",Sr. Data Analyst,"Healthcare Informatics, Statistics, Computer Science, Data Analytics, Data Visualization, Data Management, Data Transformation, Data Auditing, Statistical Analysis, Reporting, Data Documentation, CMS Medicare Advantage (Part C), CMS Prescription Drug Coverage (Part D), CMS Special Needs Plan (SNP), DHCS MediCal Managed Care reporting, Authorization Data, Claims Data, Encounter Data, Clinical Code Knowledge, ICD, CPT, Microsoft Office, SQL Transactional SQL (TSQL), SQL Server Reporting Services (SSRS), Tableau, SQL Server Integration Services (SSIS), Visual Basic for Applications (VBA), Analytical Skills, Communication Skills, Documentation Skills, Interpersonal Skills, Planning Skills, Presentation Skills, ProblemSolving Skills, Research Skills",https://www.linkedin.com/jobs/view/sr-data-analyst-at-aston-carter-3788861259,Remote,,,LinkedIn
AWS Data Engineer,Novateur Research Solutions,"Ashburn, VA",AWS Data Engineer,"Apache Spark, AWS, Linux, S3, EC2, RDS, Lambda, Hadoop, Kafka, Postgres, MySQL, MongoDB, Python, SQL, Tableau, Power BI, Kubernetes, EMR, PostGIS, QGIS, GeoJSON, PyTorch",https://www.linkedin.com/jobs/view/aws-data-engineer-at-novateur-research-solutions-3759788603,Onsite,,,LinkedIn
SENIOR METADATA ANALYST -  Remote | WFH,Get It Recruit - Finance,"Vienna, VA",SENIOR METADATA ANALYST -  Remote | WFH,,https://www.linkedin.com/jobs/view/senior-metadata-analyst-remote-wfh-at-get-it-recruit-finance-3769039017,Remote,,,LinkedIn
Data Engineer (2) - REMOTE - Active TS/SCI Clearance with Security Clearance,ClearanceJobs,"Alexandria, VA",Data Engineer (2) - REMOTE - Active TS/SCI Clearance with Security Clearance,"TS/SCI clearance, Data Engineer, Cloud Expertise, Zero Trust, Data Architecture, Cloud Engineering, Microservices, Data Layer, TopSecret Data Hub (TSDH), System One, Joulé, ALTA IT Services, CM Access, MOUNTAIN LTD, Equal Opportunity Employer",https://www.linkedin.com/jobs/view/data-engineer-2-remote-active-ts-sci-clearance-with-security-clearance-at-clearancejobs-3770706955,Remote,,,LinkedIn
IT ENGINEERING ( DATA ENGINEER),IVY TECH SOLUTIONS INC,"Vienna, VA",IT ENGINEERING ( DATA ENGINEER),"SQL, Oracle, DB2 Server, Datawarehouses, Data Lakes, Teradata, Azure, Informatica, Azure Data Factory, Azure Data Bricks, Synapse, Azure DevOps, Tableau, Power BI, Agile",https://www.linkedin.com/jobs/view/it-engineering-data-engineer-at-ivy-tech-solutions-inc-3787776281,Remote,,,LinkedIn
